RH_pct,Wind_Spd_mph,Wind_Direction_deg,Low_Cloud_Ht_ft,Med_Cloud_Ht_ft,High_Cloud_Ht_ft,Visibility_mi,Atm_Press_hPa,Sea_Lev_Press_hPa,Altimeter_hPa,LES_Snowfall,idx
49,10,270,3600,0,0,10,994.7,1017.8,1017.6,0,0
47,3,0,0,0,0,10,994.7,1017.7,1017.6,0,1
55,6,40,0,0,0,10,994.7,1017.8,1017.6,0,2
71,0,0,0,0,0,10,994.7,1017.8,1017.6,0,3
82,0,0,8000,0,0,10,994.7,1017.9,1017.6,0,4
86,0,0,0,0,0,10,995,1018.1,1017.9,0,5
86,3,160,12000,0,0,10,994.3,1017.4,1017.3,0,6
79,3,130,11000,0,0,10,994.3,1017.4,1017.3,0,7
53,15,220,5000,0,0,10,989.7,1012.4,1012.5,0,8
57,13,210,5000,10000,0,10,989.7,1012.3,1012.5,0,9
63,8,210,5000,10000,0,10,989.7,1012.3,1012.5,0,10
65,6,0,11000,0,0,10,990,1012.9,1012.9,0,11
67,3,0,0,0,0,10,990.7,1013.4,1013.5,0,12
83,0,0,0,0,0,10,990,1012.6,1012.9,0,13
81,0,0,0,0,0,10,991,1013.6,1013.9,0,14
70,6,0,0,0,0,10,991,1013.5,1013.9,0,15
67,6,30,5000,0,0,10,994.3,1017,1017.3,0,16
72,8,20,5000,0,0,10,994.7,1017.4,1017.6,0,17
83,9,20,5000,0,0,10,994.3,1017.1,1017.3,0,18
77,7,20,5000,0,0,10,994.3,1017.1,1017.3,0,19
90,0,0,4300,0,0,10,994,1017.1,1016.9,0,20
90,3,0,4600,0,0,10,993.7,1016.5,1016.6,0,21
93,0,0,0,0,0,6,992,1014.8,1014.9,0,22
93,0,0,4700,5500,0,8,989.7,0,1012.5,0,23
66,13,30,2600,3400,0,10,1000.3,1023.6,1023.4,0,24
59,15,340,3800,0,0,10,1001,1024,1024,0,25
50,14,360,3800,0,0,10,1001.3,1024.5,1024.4,0,26
54,13,360,3800,0,0,10,1002,1025.3,1025.1,0,27
56,9,350,3800,0,0,10,1003,1026.3,1026.1,0,28
63,8,350,0,0,0,10,1003.3,1026.6,1026.4,0,29
60,8,350,0,0,0,10,1004,1027.2,1027.1,0,30
63,11,40,0,0,0,10,1004,1027.5,1027.1,0,31
48,10,50,5000,0,0,10,1005.3,1028.8,1028.4,0,32
44,9,30,5000,0,0,10,1005.3,1028.7,1028.4,0,33
48,8,360,5000,0,0,10,1005.3,1028.9,1028.4,0,34
52,6,350,5000,0,0,10,1005.6,1029.2,1028.8,0,35
76,0,0,0,0,0,10,1006,1029.6,1029.1,0,36
82,0,0,0,0,0,10,1006,1029.7,1029.1,0,37
89,0,0,0,0,0,10,1006.6,1030.2,1029.8,0,38
92,0,0,0,0,0,10,1007,1030.5,1030.1,0,39
40,5,90,0,0,0,10,1007.3,1030.9,1030.5,0,40
40,7,150,0,0,0,10,1006.6,1030.3,1029.8,0,41
40,5,0,0,0,0,10,1006.6,1030.2,1029.8,0,42
54,0,0,0,0,0,10,1006.6,1030.3,1029.8,0,43
68,0,0,0,0,0,10,1006.3,1029.9,1029.5,0,44
79,0,0,0,0,0,10,1006.3,1030,1029.5,0,45
85,0,0,0,0,0,10,1007,1030.5,1030.1,0,46
88,3,290,0,0,0,10,1006.6,1030.2,1029.8,0,47
28,10,220,0,0,0,10,1002.3,1025.4,1025.4,0,48
30,9,210,0,0,0,10,1001.6,1024.8,1024.7,0,49
34,3,0,0,0,0,10,1001.3,1024.5,1024.4,0,50
39,0,0,0,0,0,10,1001,1024.4,1024,0,51
52,3,170,0,0,0,10,1001,1024.2,1024,0,52
58,0,0,0,0,0,10,1000.6,1024.1,1023.7,0,53
56,3,0,0,0,0,10,1000.3,1023.4,1023.4,0,54
56,3,0,0,0,0,10,1000.3,1023.5,1023.4,0,55
30,9,190,0,0,0,10,994.7,1017.7,1017.6,0,56
24,10,200,0,0,0,10,994.3,1017.2,1017.3,0,57
25,8,190,0,0,0,10,994,1017,1016.9,0,58
30,6,0,0,0,0,10,994.7,1017.5,1017.6,0,59
37,7,0,6000,0,0,10,994.7,1017.4,1017.6,0,60
42,6,0,0,0,0,10,995.3,1018.1,1018.3,0,61
48,3,0,8000,0,0,10,995.3,1018.2,1018.3,0,62
53,5,210,5000,0,0,10,995.3,1018.3,1018.3,0,63
56,15,350,9500,0,0,10,1002,1025.2,1025.1,0,64
58,13,20,8500,0,0,10,1002.3,1025.5,1025.4,0,65
60,9,350,8500,0,0,10,1002,1025.3,1025.1,0,66
60,8,10,8000,0,0,10,1002,1025.3,1025.1,0,67
60,11,10,8000,0,0,10,1002,1025.2,1025.1,0,68
60,10,10,8000,0,0,10,1002,1025.5,1025.1,0,69
58,7,360,9000,11000,0,10,1001.6,1025.1,1024.7,0,70
60,9,360,12000,0,0,10,1002,1025.5,1025.1,0,71
52,5,20,8000,0,0,10,992.7,1016,1015.6,0,72
56,6,20,7000,0,0,10,992.3,1015.4,1015.2,0,73
61,3,10,7000,0,0,10,991.3,1014.4,1014.2,0,74
65,5,60,7000,0,0,10,990.3,1013.5,1013.2,0,75
68,0,0,7500,9000,0,10,989.7,1012.9,1012.5,0,76
79,0,0,6500,0,0,10,988.7,1011.7,1011.5,0,77
86,0,0,3800,5500,7000,10,987.3,1010.5,1010.2,0,78
89,0,0,3700,0,0,10,986,1009,1008.8,0,79
89,10,250,900,1400,2500,5,968.1,990.5,990.5,0,80
92,9,240,1300,3000,4500,9,968.1,990.6,990.5,0,81
93,7,230,1600,2400,3600,7,968.4,0,990.9,0,82
92,9,240,1400,2900,4200,4,968.4,991.2,990.9,0,83
92,16,250,1300,3100,5500,10,969.4,992,991.9,0,84
85,13,260,1900,3000,4800,10,970.4,993.2,992.9,0,85
100,11,260,1600,2600,0,7,972.1,0,994.6,0,86
100,7,220,1300,5000,0,7,972.7,0,995.3,0,87
72,18,260,2600,4500,0,5,975.4,998.5,998,0,88
69,7,0,2300,2700,3700,9,975,0,997.6,0,89
65,9,190,1800,3000,4700,5,975.4,998.7,998,0,90
78,9,230,1400,2500,5000,1,975.4,998.6,998,0,91
85,7,200,2300,3500,5000,5,975,998.3,997.6,1,92
78,5,0,2900,5000,5500,3,975,998.3,997.6,0,93
77,8,210,2100,3800,4900,7,974.4,997.7,997,0,94
74,10,230,2300,4100,0,3,974.1,0,996.6,0,95
69,17,240,3500,5000,0,7,971.7,994.9,994.2,0,96
75,15,240,2500,4100,5000,7,972.4,0,994.9,0,97
75,9,230,2200,0,0,10,973.4,996.4,995.9,0,98
82,10,230,1900,2700,3300,10,974.1,997.1,996.6,0,99
86,13,250,1300,2000,2400,5,974.7,0,997.3,0,100
86,28,280,1900,5000,10000,7,975.4,0,998,0,101
100,8,230,3000,5500,0,9,974.7,997.9,997.3,0,102
96,14,240,2100,4000,6500,10,975,998.3,997.6,0,103
59,13,260,3400,4300,0,10,987,1010.2,1009.8,0,104
59,8,240,4700,0,0,10,987,1010.4,1009.8,0,105
59,8,240,4300,0,0,10,987.3,1010.5,1010.2,0,106
59,7,0,4300,0,0,10,987.7,1010.9,1010.5,0,107
59,8,250,4900,0,0,10,988,1011.3,1010.8,0,108
59,10,260,5500,0,0,10,989,1012.2,1011.9,0,109
59,8,250,5500,0,0,10,989,1012.5,1011.9,0,110
64,6,200,6000,0,0,10,989.3,1012.7,1012.2,0,111
40,9,210,0,0,0,10,991.3,1014.7,1014.2,0,112
37,7,240,0,0,0,10,991.7,1015.1,1014.6,0,113
37,7,0,0,0,0,10,992,1015.2,1014.9,0,114
43,3,220,0,0,0,10,992,1015.5,1014.9,0,115
52,5,150,0,0,0,10,992,1015.5,1014.9,0,116
69,3,130,0,0,0,10,992.3,1015.8,1015.2,0,117
64,0,0,0,0,0,10,992.3,1015.7,1015.2,0,118
66,0,0,0,0,0,10,992,1015.4,1014.9,0,119
89,5,0,2200,4700,6500,10,990.3,1013.6,1013.2,0,120
82,6,0,6500,0,0,10,990,1013.2,1012.9,0,121
82,0,0,6500,0,0,10,990,1013.3,1012.9,0,122
71,6,0,6500,9000,0,10,990.3,1013.4,1013.2,0,123
79,5,0,7000,0,0,10,990,1013.2,1012.9,0,124
82,7,130,6000,0,0,9,990,1013,1012.9,0,125
82,7,0,6500,0,0,10,989.3,1012.4,1012.2,0,126
82,6,0,6000,0,0,10,988.3,1011.5,1011.2,0,127
89,0,0,600,1400,0,7,975.4,998.1,998,0,128
85,11,290,1600,2200,0,10,976.7,999.5,999.3,0,129
82,8,290,1800,0,0,10,977,1000,999.7,0,130
86,7,250,1800,0,0,10,978.4,1001.2,1001,0,131
86,6,240,1600,0,0,10,979.4,1002.3,1002,0,132
87,5,240,1300,0,0,10,980,0,1002.7,0,133
89,3,230,2300,0,0,10,980.7,1003.4,1003.4,0,134
89,5,220,2300,3200,0,10,981,1003.9,1003.7,0,135
74,13,260,1500,0,0,10,985.7,1008.5,1008.5,0,136
77,6,260,1500,0,0,10,985.7,1008.5,1008.5,0,137
77,5,210,1700,0,0,10,985,1007.9,1007.8,0,138
79,8,270,1700,0,0,10,985.7,1008.4,1008.5,0,139
89,3,200,1500,2100,0,4,985.4,1008.4,1008.1,0,140
